name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
z_k_word[14],-1.5,0.15,0.59,-2.5,-1.4,-0.6,16.0,3.4e-05,1.1
z_k_word[24],0.37,0.087,0.59,-0.48,0.27,1.4,45.0,9.6e-05,1.1
z_k_word[88],-0.1,0.24,0.53,-0.94,-0.13,0.82,4.8,1e-05,1.3
z_k_word[96],0.98,0.56,0.92,-0.82,1.2,2.1,2.7,5.7e-06,1.9
z_k_nonword[14],-0.3,0.14,0.42,-1.0,-0.26,0.32,8.4,1.8e-05,1.3
z_k_nonword[88],0.66,0.24,0.48,-0.027,0.58,1.6,4.0,8.5e-06,1.4
z_k_nonword[96],1.9,0.15,0.51,1.1,1.9,2.8,12.0,2.5e-05,1.1
z_sp_trial_var_word[96],2.0,0.51,0.91,0.63,1.8,3.6,3.2,6.9e-06,1.6
z_sp_trial_var_nonword[88],-0.88,0.18,0.53,-1.9,-0.82,-0.12,9.0,1.9e-05,1.1
z_sp_trial_var_nonword[96],0.7,0.17,0.7,-0.51,0.74,1.8,17.0,3.6e-05,1.1
z_ndt[14],0.066,0.1,0.25,-0.27,0.0043,0.53,6.1,1.3e-05,1.6
z_ndt[24],0.052,0.064,0.39,-0.68,0.19,0.51,37.0,8e-05,1.1
z_ndt[54],0.035,0.029,0.25,-0.35,0.023,0.5,74.0,0.00016,1.1
z_ndt[88],0.25,0.33,0.54,-0.84,0.44,0.83,2.7,5.7e-06,2.0
z_ndt[96],0.46,1.0,1.6,-2.5,0.97,2.3,2.4,5.2e-06,2.3
ndt_t[4750],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4751],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4752],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4753],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4754],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4755],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4756],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4757],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4758],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4759],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4760],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4761],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4762],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4763],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
