name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
z_ndt[43],0.039,0.1,0.8,-1.2,0.43,0.99,59.0,0.00062,1.1
z_ndt[88],-0.047,0.024,0.17,-0.29,-0.059,0.21,53.0,0.00055,1.1
z_ndt[96],-1.8,0.12,0.84,-2.8,-1.9,-1.0,47.0,0.00049,1.1
threshold_t_word[23886],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23887],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23888],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23889],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23890],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23891],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23892],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23893],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23894],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23895],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23896],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23897],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23898],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23899],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23900],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23901],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23902],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23903],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23904],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23905],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23906],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23907],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23908],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23909],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23910],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23911],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23912],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23913],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23914],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23915],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23916],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23917],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23918],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23919],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23920],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23921],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23922],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23923],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23924],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23925],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23926],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
