mean_alpha,mean_b,mean_k_1,mean_k_2,mean_g,mean_m,mean_threshold_word,mean_threshold_nonword,median_alpha,median_b,median_k_1,median_k_2,median_g,median_m,median_threshold_word,median_threshold_nonword,real_k_1,HDI_k_1_bottom,HDI_k_1_top,real_k_2,HDI_k_2_bottom,HDI_k_2_top,real_alpha,HDI_alpha_bottom,HDI_alpha_top,real_b,HDI_b_bottom,HDI_b_top,real_g,HDI_g_bottom,HDI_g_top,real_m,HDI_m_bottom,HDI_m_top,real_threshold_word,HDI_threshold_word_bottom,HDI_threshold_word_top,real_threshold_nonword,HDI_threshold_nonword_bottom,HDI_threshold_nonword_top
1.06048703,0.446752687475,2.5813903925,4.06047353,0.07637887004999999,0.890731413,1.59991797,1.85210816,1.059845,0.4416685,2.59147,4.05537,0.0763858,0.8926015,1.585235,1.8367,1.9423977686014786,1.66301,3.36118,3.528711045283657,3.43847,4.77606,1.783332248160494,0.653086,1.46731,0.2634123268027418,0.167654,0.735785,0.14154409750349511,0.0469226,0.107184,1.6661101542834538,0.851161,0.930208,1.2410580685910424,1.32307,1.91388,1.5395682863193305,1.54901,2.18007
1.40742163025,0.5542476307499999,2.16960427475,3.4701285349999997,0.077345467125,0.9225833822499999,1.0795132432499999,1.6219166525,1.3957950000000001,0.5479635,2.173875,3.45455,0.07794300000000001,0.9239904999999999,1.07171,1.61331,2.6767586276861097,1.39195,2.87356,3.525254916304499,2.84171,4.10678,1.4569808923559715,0.859619,1.96922,0.3310609856490267,0.281198,0.851877,0.08852231018510692,0.0485826,0.104603,1.3546735348592307,0.894386,0.949675,1.121898137338279,0.906272,1.27917,1.6516495991865228,1.38578,1.85633
2.12225947,0.2625776428,2.7567999125,3.6509195424999996,0.010512753054999999,0.93621833425,1.30256316,1.524471675,2.0947050000000003,0.255739,2.762975,3.64048,0.009964174999999999,0.937049,1.2936999999999999,1.514215,3.22308301265916,1.96565,3.51725,4.166883976723362,3.0393,4.33024,2.033627543652312,1.46873,2.77982,0.14255986563241066,0.0675431,0.458245,-0.011587223443876568,0.00211413,0.0193688,2.116878431000694,0.913605,0.956553,1.3867314481929778,1.08069,1.52549,1.7537766617121684,1.29395,1.79706
1.5712209925,0.32371179165,3.507844205,3.4008910525,0.05492948855,0.91623596375,1.4690303574999999,1.67029343,1.55815,0.31514699999999995,3.5028249999999996,3.389865,0.054936399999999996,0.9177355,1.4567,1.65846,2.5667917594403673,2.71517,4.25123,3.5688095126006503,2.7659,4.00064,1.5616863008094957,1.09567,2.08976,0.4534711375082624,0.0793496,0.570428,0.12116525654994077,0.031696,0.0794542,1.8846871224965454,0.887821,0.94225,1.2529757855951196,1.21414,1.74869,1.5698510036328377,1.39704,1.95537
1.5941483629999997,0.38447169225,2.0336206255000002,4.124174450000001,0.09251957813749999,0.876384946,1.5500472325,1.9550196775,1.57038,0.3802,2.02169,4.12296,0.09264645,0.8781585000000001,1.5387,1.9389349999999999,1.9139294305205299,1.29882,2.76321,3.7262528285325547,3.48365,4.80121,1.9749067979114145,1.14414,2.09909,0.2982418009196779,0.136851,0.621901,0.12324646782445906,0.0521416,0.130702,1.4796092088683277,0.827211,0.921492,1.3547536882585947,1.25174,1.83032,1.6637548729983926,1.60515,2.33292
2.021557955,0.3828730667,2.46410134,2.9384664249999997,0.04589181472,0.9313009560000001,1.254233847,2.190256785,1.997785,0.36969799999999997,2.467445,2.937825,0.04584405,0.9324155000000001,1.24925,2.1852799999999997,2.318478523712791,1.75872,3.12526,2.550238581346054,2.4127,3.47708,2.099887486089814,1.32085,2.72249,0.3346195133709437,0.154222,0.661566,0.11433258664584585,0.0158336,0.0741121,1.6999323739065817,0.905472,0.957736,1.0849611490165791,1.04761,1.48124,1.8658100867627367,1.89273,2.52735
2.56041633,0.2970063534,2.356882025,3.1848247499999998,0.016588821985000002,0.9109136085,1.0035513725,1.7407285000000001,2.523715,0.289104,2.35457,3.1835050000000003,0.01523085,0.9124570000000001,0.995109,1.7330999999999999,2.1242073635198837,1.64315,3.06139,3.1790642570972207,2.58027,3.70444,2.7537924476076583,1.7906,3.489,0.3979577483466084,0.0891886,0.521193,-0.01966120844832575,0.0038004,0.0321415,1.1863891409467913,0.876734,0.943889,0.9855588750790658,0.836293,1.16344,1.74375721287189,1.51143,1.97872
1.551737541,0.2027603311,2.8673570250000004,4.153459079999999,0.1157856907,0.8661776985,1.530214755,1.6633815650000001,1.5308899999999999,0.1926705,2.858325,4.139625,0.11625450000000001,0.867822,1.518945,1.64753,2.754527527688983,2.16744,3.64086,3.8097699183440024,3.41655,4.87438,1.753155202400488,1.08686,2.0404,0.15557368740291116,0.0419702,0.382193,0.21172505929952726,0.0874117,0.147629,1.3990446769278555,0.82424,0.907991,1.4584214085527087,1.2767,1.83824,1.534761559753882,1.32891,2.00969
2.196513805,0.1945456605,2.6819699900000002,3.6831234999999998,0.023559092749999996,0.8920752310000001,1.3838102650000002,1.90447177,2.175125,0.1820885,2.68773,3.664165,0.02235705,0.893904,1.37164,1.8878650000000001,2.3914568760037316,2.03777,3.41639,3.5554916667353247,3.03306,4.33008,2.36891544772886,1.52447,2.84207,0.1673013906038635,0.0448375,0.369062,-0.012018350934557193,0.00622245,0.0434075,1.5917248683720016,0.851031,0.92879,1.1829873090481218,1.13242,1.67104,1.8512213976642056,1.59238,2.24818
1.6185934570000002,0.5566062882,2.90314676,3.1783287499999995,0.039352238555,0.9606802405000001,0.942300228,1.41805207,1.608835,0.545156,2.916085,3.16904,0.03942945,0.9616675,0.9378055,1.412265,3.1063306033053357,2.11338,3.79318,3.5433237724066458,2.5217,3.7714,1.6978730128678008,1.00011,2.30636,0.3362883723364601,0.21964,0.941829,0.06461880821502523,0.0202804,0.0556066,1.6481333625306496,0.944337,0.976694,0.9573643661149182,0.798854,1.09327,1.5146103155120172,1.24227,1.60661
