mean_k_2,median_k_2,real_k_2,HDI_k_2_bottom,HDI_k_2_top
2.1559472618749997,2.157535,2.2632376444649864,1.832,2.48163
3.001476165625,3.0026599999999997,2.77901509151936,2.6615,3.34634
2.3109672900000002,2.31237,2.347222320706102,1.99164,2.62801
2.113623358125,2.114665,2.208677991707234,1.7535,2.49547
1.982286893125,1.985315,2.1872240386223183,1.66708,2.29601
2.7325966181249997,2.7327250000000003,2.876374371429842,2.39764,3.06181
2.4834767656250003,2.48311,2.4704336971872505,2.18061,2.79167
2.5914260131250004,2.59077,2.5124828734073583,2.25091,2.92143
2.77101609875,2.77211,2.823214701729598,2.43935,3.09164
2.1451318906249996,2.143985,2.3698221977498606,1.81528,2.49464
2.3418514537500004,2.34246,2.8317338538106283,1.99993,2.68827
2.6989845675,2.7003500000000003,2.7291665061983625,2.35485,3.03884
2.58306638,2.582515,2.745512561381046,2.22481,2.92443
2.9820162124999996,2.982815,2.7801264899966,2.64444,3.30405
2.2129854756249996,2.215065,2.1739408557813107,1.89513,2.52673
2.60433753875,2.60428,2.6862923422482883,2.25751,2.9294
2.9686025531249998,2.96905,2.8563701070553087,2.6352,3.28503
2.7918883525,2.790355,2.6756904376308794,2.49536,3.12839
2.6377792412499996,2.63991,2.953324224183087,2.33624,2.96791
2.705814963125,2.70494,3.0051735280327163,2.36007,3.05085
2.55859100125,2.558765,2.7828061996783435,2.22587,2.90547
2.3881327956250002,2.38867,2.352690818353425,2.09179,2.67791
2.506893508125,2.5039100000000003,2.541577775946051,2.15296,2.85648
2.179735989375,2.17732,2.581683151576498,1.83228,2.52553
2.685220203125,2.68348,2.613070239433525,2.35363,3.02353
2.1211430524999995,2.121995,2.1613645849605634,1.81478,2.43431
2.7348341956249995,2.73509,2.922271401786154,2.40657,3.07937
2.3045355762499997,2.3048349999999997,2.5026180282501587,1.98043,2.61792
2.2000941750000003,2.1992700000000003,2.241002344367594,1.856,2.52725
1.683962189375,1.681795,1.915560344108573,1.40477,1.96464
2.58601336,2.5863199999999997,2.466858583043537,2.25943,2.91318
