name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
z_m[30],1.6,0.096,0.89,-0.45,1.9,2.5,86.0,0.00091,1.1
ndt_t[10658],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10660],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10661],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10662],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10663],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10665],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10666],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10667],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10668],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10669],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10670],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10671],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10672],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10673],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10674],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10679],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10680],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10681],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10682],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10684],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10685],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10686],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10687],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10688],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10689],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10690],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10691],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10693],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10697],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10699],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10700],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10701],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10702],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10703],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10704],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10705],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10706],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10708],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10709],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10710],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10711],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10712],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10713],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10717],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10718],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10719],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10720],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10721],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10722],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10723],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10724],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10727],0.26,0.0045,0.043,0.17,0.28,0.31,91.0,0.00096,1.1
ndt_t[10729],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10730],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10731],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10732],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10733],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10736],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10738],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10739],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10740],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10742],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10748],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10751],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10756],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10758],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10759],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10760],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10763],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10764],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10765],0.26,0.0045,0.043,0.17,0.28,0.31,91.0,0.00096,1.1
ndt_t[10766],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10767],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10772],0.26,0.0045,0.043,0.17,0.28,0.31,91.0,0.00096,1.1
ndt_t[10775],0.26,0.0045,0.043,0.17,0.28,0.31,91.0,0.00096,1.1
ndt_t[10778],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10780],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10781],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10782],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10783],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10784],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10786],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10787],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10790],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10791],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10792],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10800],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10809],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10815],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10823],0.26,0.0045,0.043,0.17,0.28,0.31,91.0,0.00096,1.1
ndt_t[10824],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10827],0.26,0.0045,0.043,0.17,0.28,0.31,91.0,0.00096,1.1
ndt_t[10833],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10836],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10837],0.26,0.0045,0.043,0.17,0.28,0.31,91.0,0.00096,1.1
ndt_t[10839],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10841],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10843],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10844],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
ndt_t[10845],0.26,0.0048,0.045,0.16,0.27,0.3,88.0,0.00093,1.1
ndt_t[10849],0.26,0.0049,0.046,0.15,0.27,0.3,88.0,0.00093,1.1
